date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-05-11,SR,,,43.0,,,,,,721.0,67.0
2013-05-11,WR,,,32.0,,,,,,869.0,39.0
2013-05-12,ER,,,44.0,,,,,,289.0,0.0
2013-05-12,NER,,,13.0,,,,,,26.0,0.0
2013-05-12,NR,,,217.0,,,,,,789.0,14.0
2013-05-12,SR,,,27.0,,,,,,691.0,81.0
2013-05-12,WR,,,26.0,,,,,,844.0,44.0
2013-05-13,ER,,,54.0,,,,,,288.0,0.0
2013-05-13,NER,,,14.0,,,,,,27.0,0.0
2013-05-13,NR,,,202.0,,,,,,809.0,8.0
2013-05-13,SR,,,40.0,,,,,,712.0,69.0
2013-05-13,WR,,,50.0,,,,,,868.0,30.0
2013-05-14,ER,,,52.0,,,,,,303.0,0.0
2013-05-14,NER,,,16.0,,,,,,28.0,0.0
2013-05-14,NR,,,202.0,,,,,,835.0,7.0
2013-05-14,SR,,,39.0,,,,,,732.0,89.0
2013-05-14,WR,,,47.0,,,,,,880.0,33.0
2013-05-15,ER,,,50.0,,,,,,308.0,0.0
2013-05-15,NER,,,14.0,,,,,,32.0,0.0
2013-05-15,NR,,,203.0,,,,,,840.0,8.0
2013-05-15,SR,,,37.0,,,,,,731.0,95.0
2013-05-15,WR,,,50.0,,,,,,873.0,34.0
2013-05-16,ER,,,47.0,,,,,,310.0,0.0
2013-05-16,NER,,,13.0,,,,,,29.0,0.0
2013-05-16,NR,,,204.0,,,,,,855.0,10.0
2013-05-16,SR,,,43.0,,,,,,728.0,68.0
2013-05-16,WR,,,49.0,,,,,,875.0,42.0
2013-05-17,ER,,,47.0,,,,,,300.0,0.0
2013-05-17,NER,,,14.0,,,,,,30.0,0.0
2013-05-17,NR,,,217.0,,,,,,879.0,25.0
2013-05-17,SR,,,53.0,,,,,,708.0,48.0
2013-05-17,WR,,,43.0,,,,,,869.0,43.0
2013-05-18,ER,,,54.0,,,,,,301.0,0.0
2013-05-18,NER,,,14.0,,,,,,30.0,0.0
2013-05-18,NR,,,239.0,,,,,,873.0,20.0
2013-05-18,SR,,,54.0,,,,,,698.0,44.0
2013-05-18,WR,,,49.0,,,,,,864.0,37.0
2013-05-19,ER,,,43.0,,,,,,287.0,0.0
2013-05-19,NER,,,14.0,,,,,,29.0,0.0
2013-05-19,NR,,,253.0,,,,,,871.0,26.0
2013-05-19,SR,,,31.0,,,,,,689.0,39.0
2013-05-19,WR,,,31.0,,,,,,842.0,33.0
2013-05-20,ER,,,49.0,,,,,,309.0,0.0
2013-05-20,NER,,,14.0,,,,,,31.0,0.0
2013-05-20,NR,,,267.0,,,,,,891.0,20.0
2013-05-20,SR,,,35.0,,,,,,689.0,44.0
